ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung;Anbieter und Referenz
1;J3;PinHeader_2x05_P1.27mm_Vertical;1;Conn_02x05_Odd_Even;
2;SHIELD1;ARDUINO_DUE_SHIELD;1;ARDUINO_DUE_SHIELD - SPI;
3;D9;D_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;D;
4;Y3,Y2;Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering;2;TXC 7A 12MHz 18pf;
5;Y1;Crystal_SMD_MicroCrystal_CC5V-T1A-2Pin_4.1x1.5mm_HandSoldering;1;ABS07L 32.768kHz;
6;U4;SOT-223-3_TabPin2;1;NCP1117ST33T3G;
7;U3;SOT-23-5_HandSoldering;1;74LVC1G04;
8;U2;TSSOP-8_4.4x3mm_P0.65mm;1;LM358;
9;U1;LQFP-144_20x20mm_P0.5mm;1;ATSAM3X8E;
10;SW2;SW_SPST_Omron_B3FS-100xP;1;SW_SPST;
11;SW1;SW_SPST_B3U-1000P-B;1;SW_SPST;
12;RN1;R_Array_Convex_4x0603;1;100K;
13;R21,R20,R18,R17,R10,R9,R8;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;7;1K;
14;R19,R14,R11,R7;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;4;10K;
15;R16;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;2K7;
16;R15,R6,R5;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;1K5;
17;R13,R12;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;22R;
18;R4;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;100K;
19;R3,R2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;39R 1%;
20;R1;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;6k8 1%;
21;Q3,Q2,Q1;SuperSOT-3;3;Q_PMOS_GSD;
22;JP3,JP2;SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm;2;SolderJumper_2_Bridged;
23;JP1;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;1;SolderJumper_2_Open;
24;J5;PinHeader_2x03_P2.54mm_Vertical;1;ICSP;
25;J4,J2;USB_Micro-B_Molex-105017-0001;2;USB_B_Micro;
26;J1;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03;
27;IC1;TQFP-32_7x7mm_P0.8mm;1;ATMEGA16U2;
28;FB4,FB3,FB2,FB1;L_0805_2012Metric_Pad1.15x1.40mm_HandSolder;4;Ferrite_Bead;
29;F2,F1;Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder;2;Polyfuse;
30;D11,D10,D3,D2,D1;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;5;YELLOW;
31;D8,D7,D6,D5,D4;D_0603_1608Metric_Pad1.05x0.95mm_HandSolder;5;D_TVS;
32;C36,C35,C34,C33,C32,C31,C30,C29,C28,C27,C23,C22,C21,C20,C16,C13,C9,C8,C7,C6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;20;100nF;
33;C26,C25,C24,C19,C18,C12,C11;CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder;7;10uF;
34;C17;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1uF;
35;C15,C14,C5,C4,C3,C2,C1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;7;22pF;
36;C10;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10nF;
